,InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Revenue,CustomerID,Country,invoiceDate_norm,Year,YearMonth,Month,MonthDate,DayofMonth,Hour,DayofWeek,Month_name,Day_name
386396,C536760,2010-12-02 14:29:00,22273,doll feltcraft molly,-3,2.95,-8.85,17547,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
386397,C536807,2010-12-02 16:45:00,22501,basket wicker large picnic,-2,9.95,-19.9,15834,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386398,C536807,2010-12-02 16:45:00,22778,jar small glass bell cloche,-1,3.95,-3.95,15834,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386399,C536812,2010-12-02 16:58:00,22130,decoration cone party christmas,-144,0.72,-103.68,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386400,C536812,2010-12-02 16:58:00,22574,decoration wooden heart christmas,-192,0.72,-138.24,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386401,C536812,2010-12-02 16:58:00,22578,scandinavian christmas wooden star,-36,0.85,-30.6,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386402,C536812,2010-12-02 16:58:00,22588,heart gingham holder card,-192,2.1,-403.2,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386403,C536812,2010-12-02 16:58:00,22593,star gingham christmas,-144,0.72,-103.68,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386404,C536812,2010-12-02 16:58:00,22595,heart decoration gingham christmas,-144,0.72,-103.68,16546,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
386405,C536814,2010-12-02 17:03:00,21258,sewing victorian box large,-1,12.75,-12.75,13958,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386406,C536814,2010-12-02 17:03:00,21527,teapot traditional red retrospot,-2,7.95,-15.9,13958,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386407,C536814,2010-12-02 17:03:00,21586,kings tube choice matches giant,-12,2.55,-30.6,13958,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386408,C536814,2010-12-02 17:03:00,72799E,silver ivory candle flock pillar,-6,2.95,-17.7,13958,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386409,C536814,2010-12-02 17:03:00,85066,sweetheart cream chest mini,-2,12.75,-25.5,13958,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386410,C536815,2010-12-02 17:05:00,22178,hanging victorian glass tlight,-1,1.25,-1.25,14443,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386411,C536815,2010-12-02 17:05:00,85175,cacti candles tlight,-1,0.42,-0.42,14443,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386412,C536816,2010-12-02 17:06:00,21129,silver fishing gnome,-2,6.95,-13.9,14443,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386413,C536817,2010-12-02 17:08:00,22187,holder card tree green christmas,-1,4.25,-4.25,14156,Ireland,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386414,C536817,2010-12-02 17:08:00,71477,holder colour coloured star glass tlight,-1,3.25,-3.25,14156,Ireland,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386415,C536818,2010-12-02 17:09:00,84947,silver tea glass antique engraved,-1,1.25,-1.25,16995,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386416,C536820,2010-12-02 17:14:00,21843,stand red retrospot cake,-1,10.95,-10.95,18168,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386417,C536820,2010-12-02 17:14:00,22869,garden tile number 1 cottage,-1,1.95,-1.95,18168,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386418,C536820,2010-12-02 17:14:00,22877,garden tile number 9 cottage,-1,1.95,-1.95,18168,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386419,C536820,2010-12-02 17:14:00,22878,garden number cottage tile,-1,2.1,-2.1,18168,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386420,C536822,2010-12-02 17:19:00,21430,red gingham storage set 3 rose box,-1,3.75,-3.75,14625,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386421,C536822,2010-12-02 17:19:00,22847,style ivory bin diner bread,-2,16.95,-33.9,14625,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386422,C536825,2010-12-02 17:27:00,22197,small holder popcorn,-2,0.85,-1.7,15384,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386423,C536825,2010-12-02 17:27:00,22617,spaceboy baking design set,-1,4.95,-4.95,15384,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386424,C536826,2010-12-02 17:30:00,35004B,ducks black set flying 3,-5,4.65,-23.25,17924,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386425,C536827,2010-12-02 17:31:00,21527,teapot traditional red retrospot,-3,6.95,-20.85,13408,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386426,C536828,2010-12-02 17:35:00,22832,shelf brocante hooks,-1,10.75,-10.75,14264,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386427,C536828,2010-12-02 17:35:00,84946,silver tea glass antique etched tlight,-3,1.25,-3.75,14264,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386428,C536829,2010-12-02 17:36:00,71477,holder colour coloured star glass tlight,-1,3.25,-3.25,13295,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
386429,C536850,2010-12-03 09:47:00,22186,red holder card star,-48,2.55,-122.4,14213,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,9,4,December,Friday
386430,C536850,2010-12-03 09:47:00,22580,advent calendar sack gingham,-48,4.95,-237.6,14213,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,9,4,December,Friday
386431,C536850,2010-12-03 09:47:00,22591,cardholder gingham tree christmas,-50,2.55,-127.5,14213,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,9,4,December,Friday
386432,C536850,2010-12-03 09:47:00,22689,red doormat merry christmas,-50,6.75,-337.5,14213,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,9,4,December,Friday
386433,C536850,2010-12-03 09:47:00,22942,lights 10 santas christmas,-48,7.65,-367.2,14213,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,9,4,December,Friday
386434,C536853,2010-12-03 10:07:00,84678,vase classical rose small,-1,2.55,-2.55,14679,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,10,4,December,Friday
386435,C536854,2010-12-03 10:09:00,21871,save planet mug,-1,1.25,-1.25,15240,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,10,4,December,Friday
386436,C536854,2010-12-03 10:09:00,22158,hanging rustic decoration hearts 3,-1,2.95,-2.95,15240,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,10,4,December,Friday
386437,C536854,2010-12-03 10:09:00,22944,bells metal postcard christmas,-1,1.25,-1.25,15240,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,10,4,December,Friday
386438,C536855,2010-12-03 10:11:00,21527,teapot traditional red retrospot,-4,7.95,-31.8,18225,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,10,4,December,Friday
386439,C536978,2010-12-03 14:19:00,22776,cakestand cake sweetheart loveheart tier stand 3,-1,9.95,-9.95,17954,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,14,4,December,Friday
386440,C536979,2010-12-03 14:23:00,22630,box lunch girl dolly,-1,1.95,-1.95,17841,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,14,4,December,Friday
386441,C536979,2010-12-03 14:23:00,84685,hut key beach cabinet,-1,3.75,-3.75,17841,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,14,4,December,Friday
386442,C537024,2010-12-03 16:21:00,20893,bauble holder hanging small tlight,-36,2.1,-75.6,13941,United Kingdom,2010-12-03,2010,2010-12,12,12-03,3,16,4,December,Friday
386443,C537039,2010-12-05 10:25:00,20936,cactus forked candle,-1,2.95,-2.95,15708,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,10,6,December,Sunday
386444,C537039,2010-12-05 10:25:00,22854,sweetheart egg cream holder,-1,4.95,-4.95,15708,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,10,6,December,Sunday
386445,C537039,2010-12-05 10:25:00,85175,cacti candles tlight,-1,0.42,-0.42,15708,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,10,6,December,Sunday
386446,C537043,2010-12-05 10:48:00,11001,design car racing pen asstd,-1,1.69,-1.69,15351,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,10,6,December,Sunday
386447,C537043,2010-12-05 10:48:00,22575,metal merry wreath christmas,-6,1.95,-11.7,15351,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,10,6,December,Sunday
386448,C537132,2010-12-05 12:29:00,22184,cake filigree large victorian stand,-1,8.5,-8.5,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386449,C537132,2010-12-05 12:29:00,22761,campagne drawer 7 chest,-2,21.95,-43.9,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386450,C537132,2010-12-05 12:29:00,22762,campagne drawer cupboard 3,-3,12.75,-38.25,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386451,C537132,2010-12-05 12:29:00,22769,chalkboard kitchen organiser,-8,21.95,-175.6,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386452,C537132,2010-12-05 12:29:00,22788,rack coat brocante,-2,8.5,-17.0,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386453,C537132,2010-12-05 12:29:00,71279,candleholder glass pink,-2,2.95,-5.9,15221,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386454,C537143,2010-12-05 12:58:00,20685,red doormat retrospot,-1,7.95,-7.95,12748,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,12,6,December,Sunday
386455,C537157,2010-12-05 13:09:00,35953,folkart decorations christmas star,-24,1.25,-30.0,15880,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,13,6,December,Sunday
386456,C537164,2010-12-05 13:21:00,D,discount,-1,29.29,-29.29,14527,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,13,6,December,Sunday
386457,C537203,2010-12-05 14:44:00,21424,large storage box woodland,-1,2.95,-2.95,14606,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,14,6,December,Sunday
386458,C537203,2010-12-05 14:44:00,37449,ceramic hanging cakes cake stand,-1,9.95,-9.95,14606,United Kingdom,2010-12-05,2010,2010-12,12,12-05,5,14,6,December,Sunday
386459,C537232,2010-12-06 09:31:00,84840,basket sweetheart carryall,-2,8.5,-17.0,12586,Italy,2010-12-06,2010,2010-12,12,12-06,6,9,0,December,Monday
386460,C537234,2010-12-06 09:40:00,22653,box button,-20,1.95,-39.0,16161,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,9,0,December,Monday
386461,C537314,2010-12-06 11:42:00,21349,ivy heart wreath,-4,6.75,-27.0,13497,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,11,0,December,Monday
386462,C537320,2010-12-06 11:47:00,35400,advent calendar box wooden,-1,8.95,-8.95,14867,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,11,0,December,Monday
386463,C537333,2010-12-06 12:00:00,22636,parade breakfast childs circus set,-4,8.5,-34.0,12474,Germany,2010-12-06,2010,2010-12,12,12-06,6,12,0,December,Monday
386464,C537373,2010-12-06 12:55:00,22423,regency cakestand tier 3,-1,12.75,-12.75,14487,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,12,0,December,Monday
386465,C537379,2010-12-06 13:12:00,22865,owl design warmer hand,-10,2.1,-21.0,15882,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,13,0,December,Monday
386466,C537383,2010-12-06 13:17:00,21658,glass dish beurre,-1,3.95,-3.95,16550,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,13,0,December,Monday
386467,C537383,2010-12-06 13:17:00,22197,small holder popcorn,-1,0.85,-0.85,16550,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,13,0,December,Monday
386468,C537383,2010-12-06 13:17:00,22371,bag vintage tokyo 78 airline,-1,4.25,-4.25,16550,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,13,0,December,Monday
386469,C537398,2010-12-06 14:22:00,22430,watering enamel cream,-1,4.95,-4.95,15426,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386470,C537402,2010-12-06 14:43:00,22196,measuring small heart spoons,-12,0.85,-10.2,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386471,C537402,2010-12-06 14:43:00,22847,style ivory bin diner bread,-4,14.95,-59.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386472,C537402,2010-12-06 14:43:00,22849,mint style bin diner bread,-4,14.95,-59.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386473,C537402,2010-12-06 14:43:00,22926,garden thermometer ivory giant,-4,5.95,-23.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386474,C537402,2010-12-06 14:43:00,22927,garden thermometer green giant,-4,5.95,-23.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386475,C537402,2010-12-06 14:43:00,47580,des cosy tea time,-6,2.55,-15.3,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386476,C537406,2010-12-06 14:53:00,22847,style ivory bin diner bread,-4,14.95,-59.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386477,C537406,2010-12-06 14:53:00,22849,mint style bin diner bread,-4,14.95,-59.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386478,C537406,2010-12-06 14:53:00,22926,garden thermometer ivory giant,-4,5.95,-23.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386479,C537406,2010-12-06 14:53:00,22927,garden thermometer green giant,-4,5.95,-23.8,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386480,C537408,2010-12-06 14:55:00,22196,measuring small heart spoons,-12,0.85,-10.2,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386481,C537408,2010-12-06 14:55:00,47580,des cosy tea time,-6,2.55,-15.3,15502,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,14,0,December,Monday
386482,C537413,2010-12-06 15:07:00,22834,design babushka warmer hand,-72,2.1,-151.2,14409,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,15,0,December,Monday
386483,C537414,2010-12-06 15:09:00,22086,chain 50 s christmas kit paper,-6,2.95,-17.7,16861,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,15,0,December,Monday
386484,C537416,2010-12-06 15:10:00,22840,vintage red round cake tin,-1,7.95,-7.95,16138,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,15,0,December,Monday
386485,C537417,2010-12-06 15:12:00,22960,jars set making jam,-1,4.25,-4.25,13481,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,15,0,December,Monday
386486,C537431,2010-12-06 16:10:00,21755,block word building love,-1,5.95,-5.95,16782,United Kingdom,2010-12-06,2010,2010-12,12,12-06,6,16,0,December,Monday
386487,C537444,2010-12-07 08:42:00,22580,advent calendar sack gingham,-8,5.95,-47.6,14850,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,8,1,December,Tuesday
386488,C537445,2010-12-07 08:57:00,22418,spaceboy colour 10 pen,-11,0.85,-9.35,15021,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,8,1,December,Tuesday
386489,C537530,2010-12-07 11:47:00,21527,teapot traditional red retrospot,-1,7.95,-7.95,13319,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,11,1,December,Tuesday
386490,C537530,2010-12-07 11:47:00,22726,clock bakelike green alarm,-2,3.75,-7.5,13319,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,11,1,December,Tuesday
386491,C537530,2010-12-07 11:47:00,85047,20 light white garland string beaded,-2,6.35,-12.7,13319,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,11,1,December,Tuesday
386492,C537596,2010-12-07 12:31:00,22968,box rose cottage keepsake,-2,9.95,-19.9,17954,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386493,C537597,2010-12-07 12:34:00,D,discount,-1,281.0,-281.0,15498,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386494,C537602,2010-12-07 12:45:00,21622,vintage cover cushion union jack,-1,4.95,-4.95,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386495,C537602,2010-12-07 12:45:00,21843,stand red retrospot cake,-1,9.95,-9.95,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386496,C537602,2010-12-07 12:45:00,22061,hanging cake strawbery large stand,-1,8.5,-8.5,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386497,C537602,2010-12-07 12:45:00,22065,pot trinket pudding christmas,-1,1.25,-1.25,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386498,C537602,2010-12-07 12:45:00,22169,frame album white family picture,-1,7.65,-7.65,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386499,C537602,2010-12-07 12:45:00,22197,small holder popcorn,-1,0.72,-0.72,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386500,C537602,2010-12-07 12:45:00,22198,large holder popcorn,-1,1.45,-1.45,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386501,C537602,2010-12-07 12:45:00,22423,regency cakestand tier 3,-2,10.95,-21.9,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386502,C537602,2010-12-07 12:45:00,22654,deluxe kit sewing,-1,4.95,-4.95,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386503,C537602,2010-12-07 12:45:00,22659,london lunch box love,-4,1.65,-6.6,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386504,C537602,2010-12-07 12:45:00,22665,design blue box sketchbook recipe,-1,2.95,-2.95,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386505,C537602,2010-12-07 12:45:00,84050,shape egg heart frying pan pink,-1,1.25,-1.25,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386506,C537602,2010-12-07 12:45:00,85099B,bag red retrospot jumbo,-1,1.65,-1.65,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386507,C537602,2010-12-07 12:45:00,85123A,holder heart cream hanging white tlight,-1,2.55,-2.55,17511,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,12,1,December,Tuesday
386508,C537611,2010-12-07 13:25:00,22865,owl design warmer hand,-36,2.1,-75.6,17675,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,13,1,December,Tuesday
386509,C537656,2010-12-07 16:21:00,21258,sewing victorian box large,-12,10.95,-131.4,15100,United Kingdom,2010-12-07,2010,2010-12,12,12-07,7,16,1,December,Tuesday
386510,C537677,2010-12-08 09:55:00,21166,metal cook wine sign,-1,1.95,-1.95,14796,United Kingdom,2010-12-08,2010,2010-12,12,12-08,8,9,2,December,Wednesday
386511,C537684,2010-12-08 10:18:00,22301,design mug bird cat coffee,-1,2.55,-2.55,14901,United Kingdom,2010-12-08,2010,2010-12,12,12-08,8,10,2,December,Wednesday
386512,C537684,2010-12-08 10:18:00,22730,clock bakelike ivory alarm,-1,3.75,-3.75,14901,United Kingdom,2010-12-08,2010,2010-12,12,12-08,8,10,2,December,Wednesday
