,invoice_id,InvoiceNo,InvoiceDate,invoiceDate_norm,Year,YearMonth,Month,MonthDate,DayofMonth,Hour,DayofWeek,Month_name,Day_name
34,34,536402,2010-12-01 11:22:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
35,35,536403,2010-12-01 11:27:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
36,36,536404,2010-12-01 11:29:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
37,37,536405,2010-12-01 11:32:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
38,38,536406,2010-12-01 11:33:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
39,39,536407,2010-12-01 11:34:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
40,40,536408,2010-12-01 11:41:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
41,41,536409,2010-12-01 11:45:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
42,42,536412,2010-12-01 11:49:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
43,43,536415,2010-12-01 11:57:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
44,44,536416,2010-12-01 11:58:00,2010-12-01,2010,2010-12,12,12-01,1,11,2,December,Wednesday
45,45,536420,2010-12-01 12:03:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
46,46,536423,2010-12-01 12:08:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
47,47,536425,2010-12-01 12:08:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
48,48,536437,2010-12-01 12:12:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
49,49,536446,2010-12-01 12:15:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
50,50,536460,2010-12-01 12:22:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
51,51,536463,2010-12-01 12:22:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
52,52,536464,2010-12-01 12:23:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
53,53,536466,2010-12-01 12:23:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
54,54,536477,2010-12-01 12:27:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
55,55,536488,2010-12-01 12:31:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
56,56,536500,2010-12-01 12:35:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
57,57,536502,2010-12-01 12:36:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
58,58,536508,2010-12-01 12:38:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
59,59,536514,2010-12-01 12:40:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
60,60,536520,2010-12-01 12:43:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
61,61,536521,2010-12-01 12:48:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
62,62,536522,2010-12-01 12:49:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
63,63,536523,2010-12-01 12:50:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
64,64,536524,2010-12-01 12:51:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
65,65,536525,2010-12-01 12:54:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
66,66,536526,2010-12-01 12:58:00,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
67,67,536527,2010-12-01 13:04:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
68,68,536528,2010-12-01 13:17:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
69,69,536529,2010-12-01 13:20:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
70,70,536530,2010-12-01 13:21:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
71,71,536531,2010-12-01 13:23:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
72,72,536532,2010-12-01 13:24:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
73,73,536533,2010-12-01 13:31:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
74,74,536534,2010-12-01 13:33:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
75,75,536535,2010-12-01 13:38:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
76,76,536536,2010-12-01 13:45:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
77,77,536537,2010-12-01 13:51:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
78,78,536538,2010-12-01 13:54:00,2010-12-01,2010,2010-12,12,12-01,1,13,2,December,Wednesday
79,79,536539,2010-12-01 14:03:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
80,80,536540,2010-12-01 14:05:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
81,81,536541,2010-12-01 14:05:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
82,82,536542,2010-12-01 14:11:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
83,83,536551,2010-12-01 14:34:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
84,84,536556,2010-12-01 14:38:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
85,85,536557,2010-12-01 14:41:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
86,86,536559,2010-12-01 14:54:00,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
87,87,536560,2010-12-01 15:00:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
88,88,536561,2010-12-01 15:06:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
89,89,536562,2010-12-01 15:08:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
90,90,536563,2010-12-01 15:08:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
91,91,536564,2010-12-01 15:08:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
92,92,536566,2010-12-01 15:21:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
93,93,536567,2010-12-01 15:27:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
94,94,536568,2010-12-01 15:28:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
95,95,536569,2010-12-01 15:35:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
96,96,536570,2010-12-01 15:35:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
97,97,536571,2010-12-01 15:37:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
98,98,536572,2010-12-01 15:40:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
99,99,536573,2010-12-01 15:45:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
100,100,536574,2010-12-01 15:46:00,2010-12-01,2010,2010-12,12,12-01,1,15,2,December,Wednesday
101,101,536575,2010-12-01 16:01:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
102,102,536576,2010-12-01 16:11:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
103,103,536577,2010-12-01 16:13:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
104,104,536578,2010-12-01 16:15:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
105,105,536579,2010-12-01 16:16:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
106,106,536580,2010-12-01 16:17:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
107,107,536581,2010-12-01 16:19:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
108,108,536582,2010-12-01 16:21:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
109,109,536583,2010-12-01 16:21:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
110,110,536584,2010-12-01 16:22:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
111,111,536585,2010-12-01 16:24:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
112,112,536586,2010-12-01 16:25:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
113,113,536587,2010-12-01 16:33:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
114,114,536588,2010-12-01 16:49:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
115,115,536590,2010-12-01 16:52:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
116,116,536591,2010-12-01 16:57:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
117,117,536591,2010-12-01 16:58:00,2010-12-01,2010,2010-12,12,12-01,1,16,2,December,Wednesday
118,118,536593,2010-12-01 17:15:00,2010-12-01,2010,2010-12,12,12-01,1,17,2,December,Wednesday
119,119,536594,2010-12-01 17:22:00,2010-12-01,2010,2010-12,12,12-01,1,17,2,December,Wednesday
120,120,536595,2010-12-01 17:24:00,2010-12-01,2010,2010-12,12,12-01,1,17,2,December,Wednesday
121,121,536597,2010-12-01 17:35:00,2010-12-01,2010,2010-12,12,12-01,1,17,2,December,Wednesday
122,122,536598,2010-12-02 07:48:00,2010-12-02,2010,2010-12,12,12-02,2,7,3,December,Thursday
123,123,536599,2010-12-02 07:49:00,2010-12-02,2010,2010-12,12,12-02,2,7,3,December,Thursday
124,124,536600,2010-12-02 08:32:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
125,125,536601,2010-12-02 08:33:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
126,126,536602,2010-12-02 08:34:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
127,127,536603,2010-12-02 08:40:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
128,128,536604,2010-12-02 08:43:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
129,129,536605,2010-12-02 08:52:00,2010-12-02,2010,2010-12,12,12-02,2,8,3,December,Thursday
130,130,536607,2010-12-02 09:29:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
131,131,536608,2010-12-02 09:37:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
132,132,536609,2010-12-02 09:41:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
133,133,536610,2010-12-02 09:42:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
134,134,536611,2010-12-02 09:43:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
135,135,536612,2010-12-02 09:44:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
136,136,536613,2010-12-02 09:44:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
137,137,536614,2010-12-02 09:44:00,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
138,138,536615,2010-12-02 10:09:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
139,139,536616,2010-12-02 10:10:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
140,140,536617,2010-12-02 10:17:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
141,141,536618,2010-12-02 10:17:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
142,142,536619,2010-12-02 10:18:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
143,143,536620,2010-12-02 10:27:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
144,144,536621,2010-12-02 10:35:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
145,145,536623,2010-12-02 10:39:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
146,146,536624,2010-12-02 10:45:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
147,147,536626,2010-12-02 10:46:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
148,148,536627,2010-12-02 10:53:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
149,149,536628,2010-12-02 10:54:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
150,150,536629,2010-12-02 10:55:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
151,151,536630,2010-12-02 10:56:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
152,152,536631,2010-12-02 10:58:00,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
153,153,536632,2010-12-02 11:02:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
154,154,536633,2010-12-02 11:20:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
155,155,536634,2010-12-02 11:21:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
156,156,536635,2010-12-02 11:22:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
157,157,536636,2010-12-02 11:23:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
158,158,536637,2010-12-02 11:35:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
159,159,536638,2010-12-02 11:41:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
160,160,536639,2010-12-02 11:45:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
161,161,536641,2010-12-02 11:46:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
162,162,536643,2010-12-02 11:57:00,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
163,163,536663,2010-12-02 12:07:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
164,164,536667,2010-12-02 12:09:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
165,165,536670,2010-12-02 12:09:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
166,166,536671,2010-12-02 12:10:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
167,167,536672,2010-12-02 12:10:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
168,168,536673,2010-12-02 12:11:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
169,169,536674,2010-12-02 12:16:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
170,170,536676,2010-12-02 12:18:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
171,171,536681,2010-12-02 12:22:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
172,172,536685,2010-12-02 12:23:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
173,173,536688,2010-12-02 12:24:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
174,174,536690,2010-12-02 12:25:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
175,175,536693,2010-12-02 12:26:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
176,176,536698,2010-12-02 12:28:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
177,177,536707,2010-12-02 12:33:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
178,178,536732,2010-12-02 12:47:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
179,179,536733,2010-12-02 12:50:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
180,180,536735,2010-12-02 12:58:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
181,181,536736,2010-12-02 12:59:00,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
182,182,536738,2010-12-02 13:06:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
183,183,536739,2010-12-02 13:08:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
184,184,536740,2010-12-02 13:08:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
185,185,536741,2010-12-02 13:11:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
186,186,536742,2010-12-02 13:14:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
187,187,536743,2010-12-02 13:32:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
188,188,536744,2010-12-02 13:36:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
189,189,536745,2010-12-02 13:38:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
190,190,536746,2010-12-02 13:39:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
191,191,536747,2010-12-02 13:44:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
192,192,536748,2010-12-02 13:45:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
193,193,536749,2010-12-02 13:49:00,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
194,194,536750,2010-12-02 14:04:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
195,195,536751,2010-12-02 14:05:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
196,196,536752,2010-12-02 14:06:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
197,197,536753,2010-12-02 14:07:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
198,198,536754,2010-12-02 14:09:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
199,199,536759,2010-12-02 14:26:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
200,200,536761,2010-12-02 14:30:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
201,201,536762,2010-12-02 14:40:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
202,202,536763,2010-12-02 14:42:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
203,203,536769,2010-12-02 14:47:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
204,204,536771,2010-12-02 14:49:00,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
205,205,536777,2010-12-02 15:00:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
206,206,536778,2010-12-02 15:03:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
207,207,536779,2010-12-02 15:08:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
208,208,536781,2010-12-02 15:14:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
209,209,536782,2010-12-02 15:18:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
210,210,536783,2010-12-02 15:19:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
211,211,536784,2010-12-02 15:20:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
212,212,536785,2010-12-02 15:22:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
213,213,536786,2010-12-02 15:23:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
214,214,536787,2010-12-02 15:24:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
215,215,536788,2010-12-02 15:25:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
216,216,536789,2010-12-02 15:25:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
217,217,536790,2010-12-02 15:26:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
218,218,536791,2010-12-02 15:27:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
219,219,536792,2010-12-02 15:28:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
220,220,536793,2010-12-02 15:39:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
221,221,536794,2010-12-02 15:40:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
222,222,536795,2010-12-02 15:40:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
223,223,536796,2010-12-02 15:46:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
224,224,536797,2010-12-02 15:49:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
225,225,536798,2010-12-02 15:55:00,2010-12-02,2010,2010-12,12,12-02,2,15,3,December,Thursday
226,226,536799,2010-12-02 16:00:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
227,227,536800,2010-12-02 16:12:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
228,228,536802,2010-12-02 16:29:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
229,229,536803,2010-12-02 16:33:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
230,230,536804,2010-12-02 16:34:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
231,231,536805,2010-12-02 16:38:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
232,232,536806,2010-12-02 16:42:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
233,233,536808,2010-12-02 16:46:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
234,234,536809,2010-12-02 16:48:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
235,235,536810,2010-12-02 16:50:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
236,236,536811,2010-12-02 16:51:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
237,237,536813,2010-12-02 16:59:00,2010-12-02,2010,2010-12,12,12-02,2,16,3,December,Thursday
238,238,536819,2010-12-02 17:12:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
239,239,536821,2010-12-02 17:17:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
240,240,536823,2010-12-02 17:22:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
241,241,536824,2010-12-02 17:24:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
242,242,536830,2010-12-02 17:38:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
243,243,536831,2010-12-02 17:40:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
244,244,536832,2010-12-02 17:41:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
245,245,536833,2010-12-02 17:48:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
246,246,536834,2010-12-02 17:51:00,2010-12-02,2010,2010-12,12,12-02,2,17,3,December,Thursday
247,247,536835,2010-12-02 18:06:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
248,248,536836,2010-12-02 18:08:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
249,249,536837,2010-12-02 18:15:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
250,250,536838,2010-12-02 18:23:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
251,251,536839,2010-12-02 18:25:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
252,252,536840,2010-12-02 18:27:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
253,253,536841,2010-12-02 18:27:00,2010-12-02,2010,2010-12,12,12-02,2,18,3,December,Thursday
